simulation_id,experiment,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
13,EXP2,False,NEAREST,T2,4,4,1.0,24.319999999999993,0.5338847800000032,0.021952499177631715,23,38.232,19.576,11.903999999999996
13,EXP2,False,NEAREST,T2,5,5,1.0,62.144000000000005,0.8461436500000193,0.013615854306128014,40,34.0608,18.092800000000004,19.116799999999994
13,EXP2,False,NEAREST,T2,6,6,1.0,35.29600000000002,0.4662319100000132,0.013209199626020312,52,36.64533333333333,16.37866666666667,20.176
13,EXP2,False,NEAREST,T2,7,7,1.0,50.048,0.6680962300000245,0.013349109454923763,71,36.836571428571425,16.036571428571428,22.157714285714285
13,EXP2,False,NEAREST,T2,8,8,1.0,20.991999999999962,0.2984193200000075,0.014215859375000382,76,37.51200000000001,15.492,20.299999999999997
13,EXP2,False,NEAREST,T2,9,9,1.0,48.19200000000001,0.5847370800000171,0.012133488545817087,92,36.963555555555565,17.152,19.793777777777773
14,EXP2,False,NEAREST,T4,1,1,1.0,15.232,0.3411609999999997,0.02239764968487393,0,5.952000000000001,5.920000000000001,7.295999999999999
14,EXP2,False,NEAREST,T6,2,2,1.0,53.98400000000001,1.3157228000000007,0.024372458506224076,0,19.247999999999998,17.535999999999998,15.056000000000001
14,EXP2,False,NEAREST,T2,3,3,1.0,10.527999999999992,0.18075096,0.017168594224924026,0,25.674666666666663,12.885333333333328,11.68
14,EXP2,False,NEAREST,T2,4,4,1.0,16.0,0.2883776000000013,0.01802360000000008,2,21.087999999999997,11.271999999999997,10.647999999999998
14,EXP2,False,NEAREST,T4,5,5,1.0,20.67200000000001,0.35995704000000045,0.01741278250773995,2,29.798399999999997,11.315199999999997,9.952
14,EXP2,False,NEAREST,T2,6,6,1.0,14.719999999999999,0.2102324200000012,0.014282093750000082,4,27.375999999999994,10.13333333333333,9.706666666666667
14,EXP2,False,NEAREST,T2,7,7,1.0,12.159999999999997,0.18628678000000015,0.015319636513157911,4,24.831999999999994,9.45828571428571,8.996571428571427
14,EXP2,False,NEAREST,T2,8,8,1.0,49.66399999999999,0.7012467800000238,0.014119820795747907,21,25.999999999999996,12.211999999999996,9.892
14,EXP2,False,NEAREST,T2,9,9,1.0,18.336000000000013,0.2612778300000031,0.014249445353403301,25,25.44355555555555,11.800888888888885,9.660444444444444
